name,rating ,reviewCount,category,address,website,phone,monday,tuesday,wednesday,thursday,friday,saturday,sunday,laditude,longitude,
Remedium Lek,,,Pharmacy,Skopje,,+389 2 307 1105,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,8AM-4PM,Closed,42.0023125,21.4090625,
Zegin - Ruzveltova,,,Pharmacy,Franklin Ruzvelt 68,zegin.com.mk,+389 2 321 7050,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,7AM-10PM,42.0035625,21.4153125,
Efedra,5,1,Pharmacy,Orce Nikolov 150,zk.mk,+389 2 306 7500,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,8AM-5PM,Closed,42.0044375,21.4150625,
Zegin - Leptokarija,3,7,Pharmacy,Skopje,zegin.com.mk,+389 2 306 5903,,,,,,,,42.0034375,21.3971875,
Makmedika,,,Pharmacy,Veselin Maslesha,,,,,,,,,,42.0034375,21.4075625,
Eurofarm - Taftalidzhe,4.7,12,Pharmacy,Ulica Moskovska,eurofarm.com.mk,+389 2 551 4580,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,42.0009375,21.3903125,
Ambrozija Farm,5,2,Pharmacy,Bulevar Partizanski Odredi,,+389 2 322 4399,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,9AM-5PM,Closed,42.0005625,21.4151875,
Zegin,3.9,15,Pharmacy,Bulevar Partizanski Odredi,zegin.com.mk,+389 2 329 8504,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,Closed,42.0005625,21.4151875,
Zegin,4.5,2,Pharmacy,Bulevar Partizanski Odredi,zegin.com.mk,+389 2 306 5903,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM,42.0033125,21.3979375,
Zegin - Moja Apteka,4.7,9,Pharmacy,Ivan Agovski 7,zegin.com.mk,+389 2 308 9997,8AM9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-4PM,42.0025625,21.4114375,
Viola,4.3,7,Pharmacy,Bulevar Partizanski Odredi,viola.com.mk,+389 2 307 7981,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,42.0030625,21.4011875,
Trajko Pharma,4.7,3,Pharmacy,Bukureska 8,,,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,9AM-5PM,42.0004375,21.3969375,
Beta Pharmacia,5,1,Pharmacy,Franklin Ruzvelt 28/1 Lokal 2,,+389 2 325 6799,,,,,,,,41.9999375,21.4131875,
Akacija,5,1,Pharmacy,Kozle 88,zk.mk,+389 2 308 6106,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,Closed,41.9950625,21.3955625,
Makfarm,,,Pharmacy,Veselin Maslesha,,,,,,,,,,42.0034375,21.4075625,
Panterfarm,,,Pharmacy,Centar,,,,,,,,,,42.0011875,21.4201875,
Derma Pharm,4.4,7,Pharmacy,John Kennedy 25/7,,+389 2 263 4071,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,42.0128125,21.4334375,
Eurofarm,5,3,Pharmacy,Orce Nikolov 133,,+389 2 312 0555,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0028125,21.4183125,
Metamedico,,,Pharmacy,Borka Talevski 15 Lokal 5,metamedico.mk,+389 70 204 202,,,,,,,,41.9974375,21.4195625,
Zegin,4,1,Pharmacy,Kemal Sejfula 1/1-4,,+389 2 265 6005,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-4PM,42.0203125,21.4431875,
Zegin - Bunjakovec,4.6,14,Pharmacy,Aminta Treti Centar,zegin.com.mk,+389 2 329 8504,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9985625,21.4228125,
Zegin - Karposh 4,5,1,Pharmacy,Skopje,zegin.com.mk,+389 2 306 4330,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,42.0049375,21.3835625,
Zegin - Taftalidze,4.5,6,Pharmacy,Ulica Moskovska,zegin.com.mk,+389 2 306 4161,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,42.0018125,21.3895625,
Beta Pharmacia,,,Pharmacy,Ivan Milutinovikj 24,,,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,Closed,41.9985625,21.4155625,
Pavlofarm,,,Pharmacy,29-ti Noemvri Centar,,,,,,,,,,42.0008125,21.4181875,
Zegin - Mlechen Restoran,3.8,4,Pharmacy,Mitropolit Teodosij Gologanov,zegin.com.mk,+389 2 307 8681,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-4PM,9AM-2PM,41.9961875,21.4076875,
Alpifarm,,,Pharmacy,Skopje,,,,,,,,,,42.0016875,21.3905625,
Carpediem,,,Pharmacy,John Kennedy 11Ð?/1 local 6,,+389 2 262 2022,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,42.0130625,21.4373125,
Zegin Alumina,5,1,Pharmacy,Mitropolit Teodosij Gologanov,zegin.com.mk,+389 2 306 4852,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9975625,21.3974375,
AL-NE Farmacy,,,Pharmacy,Kemal Ataturk 75,instagram.com,,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,9AM-11PM,42.0135625,21.4431875,
Datel Farma,,,Pharmacy,Skopje,,+389 2 261 2536,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,9:30AM-2:30PM,42.0159375,21.4344375,
Remedium,5,4,Pharmacy,Nikola Parapunov,,,,,,,,,,42.0061875,21.3816875,
Omega,,,Pharmacy,Aminta Treti 44,,,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9983125,21.4225625,
LifeLine Pharmacy,1,1,Pharmacy,Pariska 15,apteka-lifeline.business.site,+389 70 217 128,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0005625,21.4008125,
Eurofarm Debar Maalo,,,Pharmacy,Orce Nikolov,,,,,,,,,,42.0021875,21.4199375,
Skopje,,,Pharmacy,Vostanicka 9e,,,,,,,,,,41.9855625,21.4249375,
Zegin Orthopedic,,,Pharmacy,Chair,zegin.com.mk,+389 2 232 5421,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-2PM,Closed,41.9914375,21.4368125,
